diffresult,id,number,street,unit,lon,lat,city,postcode,region,accuracy
-,GAQLD720617969,17,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD720617969,17,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GASA_425726136,10,CAROONA ROAD,,137.67672614,-32.54137704,CULTANA,5700,SA,4
+,GASA_425726136,10,CAROONA ROAD,,137.67672614,-32.54137704,CULTANA,5601,SA,4
-,GAWA_148026383,8,FORTESCUE PLACE,,116.32742016,-21.63744614,PANNAWONICA,6716,WA,4
+,GAWA_148026383,8,FORTESCUE PLACE,,116.32742016,-21.63744614,PANNAWONICA,,WA,4
-,GAWA_148025665,1D,SHERLOCK DRIVE,,116.33007834,-21.63782779,PANNAWONICA,6716,WA,4
+,GAWA_148025665,1D,SHERLOCK DRIVE,,116.33007834,-21.63782779,PANNAWONICA,,WA,4
-,GAWA_163247825,LOT 50,LANDOR-MOUNT AUGUSTUS ROAD,,116.93298260,-24.76221616,EAST LYONS RIVER,6705,WA,4
+,GAWA_163247825,LOT 50,LANDOR-MOUNT AUGUSTUS ROAD,,116.93298260,-24.76221616,EAST LYONS RIVER,,WA,4
-,GAQLD425798379,5809,SCRUBBY CREEK ROAD,,145.60310539,-25.43106293,SCRUBBY CREEK,4478,QLD,2
+,GAQLD425798379,5809,SCRUBBY CREEK ROAD,,145.60310539,-25.43106293,SCRUBBY CREEK,4878,QLD,2
-,GAQLD425251492,69,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,4875,QLD,4
+,GAQLD425251492,69,MAROU ROAD,,144.05136240,-9.91664937,MER ISLAND,,QLD,4
-,GAWA_162695294,LOT 219,PANNAWONICA DRIVE,,116.32628658,-21.63922762,PANNAWONICA,6716,WA,4
+,GAWA_162695294,LOT 219,PANNAWONICA DRIVE,,116.32628658,-21.63922762,PANNAWONICA,,WA,4
-,GAWA_148005929,15,MAITLAND STREET,,116.32857955,-21.63601005,PANNAWONICA,6716,WA,4
+,GAWA_148005929,15,MAITLAND STREET,,116.32857955,-21.63601005,PANNAWONICA,,WA,4
-,GAQLD719288837,795,AUBURN ROAD,,150.60270209,-26.66942365,RED HILL,4413,QLD,2
+,GAQLD719288837,795,AUBURN ROAD,,150.60270209,-26.66942365,RED HILL,4877,QLD,2
-,GAQLD720477461,105,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,4875,QLD,4
+,GAQLD720477461,105,MAIN ROAD,,142.54004003,-9.41490153,DAUAN ISLAND,,QLD,4
-,GANSW718466069,45A,TAYLOR STREET,,151.31255736,-33.48296542,WOY WOY BAY,2256,NSW,2
+,GANSW718466069,45A-A,TAYLOR STREET,,151.31255736,-33.48296542,WOY WOY BAY,2256,NSW,2
-,GANSW718459792,1A,HOPKIN PLACE,,151.35794899,-33.47167126,SARATOGA,2251,NSW,2
+,GANSW718459792,1A-A,HOPKIN PLACE,,151.35794899,-33.47167126,SARATOGA,2251,NSW,2
-,GANSW718567054,43A,STEYNE ROAD,UNIT 2,151.34898608,-33.47271107,SARATOGA,2251,NSW,2
+,GANSW718567054,43A-A,STEYNE ROAD,UNIT 2,151.34898608,-33.47271107,SARATOGA,2251,NSW,2
-,GAWA_161040876,8,MAITLAND STREET,,116.32857955,-21.63601005,PANNAWONICA,6716,WA,4
+,GAWA_161040876,8,MAITLAND STREET,,116.32857955,-21.63601005,PANNAWONICA,,WA,4
-,GANSW718457405,2A,DWYER AVENUE,,151.32416092,-33.49551753,WOY WOY,2256,NSW,2
+,GANSW718457405,2A-A,DWYER AVENUE,,151.32416092,-33.49551753,WOY WOY,2256,NSW,2
-,GAWA_148006303,1C,SHERLOCK DRIVE,,116.33007834,-21.63782779,PANNAWONICA,6716,WA,4
+,GAWA_148006303,1C,SHERLOCK DRIVE,,116.33007834,-21.63782779,PANNAWONICA,,WA,4
-,GANSW718454284,57A,AVOCA DRIVE,,151.43609278,-33.47274751,AVOCA BEACH,2251,NSW,2
+,GANSW718454284,57A-A,AVOCA DRIVE,,151.43609278,-33.47274751,AVOCA BEACH,2251,NSW,2
-,GANSW718454279,57A,AVOCA DRIVE,UNIT 1,151.43609278,-33.47274751,AVOCA BEACH,2251,NSW,2
